TXTYP;TXNUM;DESCR;CRAT;CHAT;PARM1;PARM2
cT;01;Mouse & Keyboard;17.06.2026 19:06:53;17.06.2026 19:07:02;;
cT;02;Controller;17.06.2026 19:07:03;17.06.2026 19:07:10;;
cO;01;Combobox;01.01.0001 00:00:00;01.01.0001 00:00:00;;
eT;mE;Metadata (Business Objects);19.06.2026 10:29:44;19.06.2026 10:30:00;;
cO;02;Textbox;01.01.0001 00:00:00;01.01.0001 00:00:00;;
cO;03;Checkbox;01.01.0001 00:00:00;01.01.0001 00:00:00;;
cP;D;Developer;01.01.0001 00:00:00;01.01.0001 00:00:00;;
cP;U;User;01.01.0001 00:00:00;01.01.0001 00:00:00;;
eT;cT;Codetables;01.01.0001 00:00:00;01.01.0001 00:00:00;;
cO;04;Button;2026-06-19 11:11:48;2026-06-19 11:11:54;;
OF;123;123;2026-06-19 11:21:14;2026-06-19 11:21:16;;
